Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,playerid
Mike Trout,Angels,150,675,528,157,29,3,44,124,112,126,136,12,14,5,0.297,0.439,0.611,1.05,0.427,173,3.1,-1.7,66.1,0.6,8.8,10155
Alex Bregman,Astros,150,658,549,157,38,2,32,106,103,94,85,9,6,3,0.287,0.396,0.541,0.937,0.391,150,0.1,-1.5,42,0.6,6.4,17678
Francisco Lindor,Indians,150,692,616,178,39,2,35,112,95,60,99,6,22,7,0.289,0.354,0.531,0.885,0.365,125,0.7,7.8,22.4,15.3,6,12916
Cody Bellinger,Dodgers,150,640,544,156,30,3,42,100,116,86,117,4,12,5,0.287,0.385,0.583,0.969,0.392,147,1.2,0.9,40.7,0,6,15998
Mookie Betts,Red Sox,150,688,589,165,38,3,31,111,86,82,101,6,17,5,0.28,0.371,0.516,0.886,0.368,131,4.5,12.6,33,5.3,5.9,13611
Christian Yelich,Brewers,150,672,570,174,35,4,36,112,100,86,137,7,22,7,0.304,0.4,0.568,0.968,0.397,145,3.3,0.5,43.3,-6.5,5.7,11477
Anthony Rendon,Angels,150,655,565,161,37,2,28,92,99,75,96,9,4,2,0.284,0.374,0.506,0.88,0.367,133,0.9,4.2,28.2,6.7,5.6,12861
Matt Chapman,Athletics,150,656,571,147,35,3,34,95,97,68,153,9,3,1,0.257,0.343,0.51,0.853,0.356,126,1.4,7.5,23.2,10,5.5,16505
Carlos Correa,Astros,149,637,554,151,32,2,33,93,105,72,138,4,3,1,0.273,0.359,0.519,0.878,0.366,133,0.9,-1.1,27.4,5.8,5.4,14162
Josh Donaldson,Twins,147,644,538,144,30,1,36,100,103,93,151,6,4,2,0.267,0.379,0.527,0.906,0.378,137,-0.4,0.9,29.9,2.1,5.3,5038
Aaron Judge,Yankees,150,670,554,141,24,1,41,107,101,102,206,6,6,3,0.254,0.373,0.525,0.897,0.373,134,0.5,8.1,29.9,0.6,5.3,15640
George Springer,Astros,149,687,589,161,28,2,35,112,91,79,137,8,8,3,0.273,0.365,0.51,0.874,0.367,133,0.7,-1.7,30,-0.6,5.2,12856
Jose Ramirez,Indians,150,648,564,156,39,3,31,95,101,72,84,5,23,8,0.277,0.362,0.523,0.884,0.366,125,3.9,2.7,24.8,5.2,5.1,13510
Yasmani Grandal,White Sox,128,544,452,108,20,2,25,74,73,82,130,4,3,1,0.239,0.358,0.459,0.817,0.347,119,-3.1,0.3,10.1,7.7,5,11368
Nolan Arenado,Rockies,150,657,580,172,35,3,40,100,114,67,106,5,3,2,0.296,0.371,0.571,0.942,0.385,124,0.5,5.3,21,7.8,4.9,9777
Juan Soto,Nationals,150,646,534,156,30,4,34,97,106,102,122,4,9,4,0.292,0.406,0.555,0.962,0.399,145,0.1,-1.9,38.6,-9.4,4.9,20123
Kris Bryant,Cubs,150,669,565,154,35,2,31,100,91,81,150,15,4,2,0.273,0.377,0.508,0.884,0.371,129,2.8,-2.2,28.6,-0.8,4.8,15429
Xander Bogaerts,Red Sox,150,649,571,166,39,1,25,91,95,66,114,5,6,2,0.292,0.368,0.499,0.866,0.363,123,1.5,-2.5,20.8,5,4.7,12161
Rafael Devers,Red Sox,149,636,576,173,42,3,32,95,103,48,113,4,9,4,0.3,0.355,0.546,0.901,0.37,128,1.4,-1,24.2,1.5,4.7,17350
Manny Machado,Padres,150,664,591,161,29,3,37,93,102,63,119,4,7,3,0.272,0.343,0.518,0.862,0.356,122,-0.6,4.7,18.3,7.2,4.6,11493
Ronald Acuna Jr.,Braves,150,680,593,167,29,3,37,107,93,70,166,7,29,11,0.282,0.363,0.527,0.89,0.37,127,2.9,-1.6,27.2,-2.3,4.6,18401
Bryce Harper,Phillies,150,664,544,141,29,1,41,102,102,107,165,5,11,4,0.259,0.383,0.541,0.924,0.38,134,0.3,0,30.4,-7.5,4.3,11579
Jose Altuve,Astros,150,673,601,178,34,4,24,100,93,57,99,7,12,4,0.295,0.361,0.486,0.847,0.356,126,-0.5,-4.4,22.1,-1.9,4.3,5417
Giancarlo Stanton,Yankees,139,612,531,142,24,1,48,101,115,68,180,7,3,1,0.268,0.355,0.589,0.944,0.385,143,-0.4,0.9,32.9,-11.3,4.2,4949
Freddie Freeman,Braves,150,662,568,166,36,2,33,98,103,81,126,7,6,3,0.293,0.385,0.541,0.926,0.382,135,0.5,3.4,30.9,-9.1,4.2,5361
Marcus Semien,Athletics,150,678,594,160,34,4,25,98,79,70,111,3,12,5,0.269,0.347,0.465,0.812,0.343,117,1.4,-4.9,16.3,2.6,4.2,12533
J.T. Realmuto,Phillies,125,537,486,131,27,2,23,69,75,38,112,7,6,2,0.269,0.329,0.477,0.805,0.337,106,1.6,4.8,5.8,14.9,4.1,11739
Trea Turner,Nationals,150,687,614,178,36,5,22,103,75,57,128,5,39,10,0.29,0.353,0.471,0.825,0.347,111,5.1,-2.5,15.3,5,4.1,16252
Ketel Marte,Diamondbacks,150,647,578,171,34,8,23,87,83,56,89,5,8,3,0.296,0.36,0.501,0.861,0.36,121,1,-0.4,18.9,2.3,4.1,13613
Corey Seager,Dodgers,141,607,539,150,37,1,23,82,81,55,110,5,2,1,0.278,0.348,0.478,0.827,0.346,117,1.6,-0.1,15.3,7,4.1,13624
Ozzie Albies,Braves,150,652,590,169,37,6,24,89,82,48,100,5,14,5,0.287,0.344,0.49,0.834,0.348,112,2.6,4.4,13.3,6.9,4,16556
Yoan Moncada,White Sox,150,662,586,156,31,4,27,92,86,64,181,5,12,5,0.267,0.341,0.475,0.816,0.342,116,1.9,0.3,15.1,2.8,4,17232
Anthony Rizzo,Cubs,150,660,556,158,32,3,32,97,99,77,93,20,6,3,0.284,0.388,0.522,0.91,0.38,135,-2.3,3.9,28.3,-8.6,4,3473
Trevor Story,Rockies,150,652,582,162,36,4,36,97,101,57,173,6,20,8,0.279,0.346,0.541,0.887,0.366,112,1.8,0.1,11.9,7.6,3.9,12564
